date,return_historical_best,return_online_conservative,return_csi300,net_value_historical_best,net_value_online_conservative,net_value_csi300,drawdown_historical_best,drawdown_online_conservative,drawdown_csi300
2019-06-21,-0.0102584800,-0.0139168056,0.0014156914,1.1945291536,1.1745952288,1.2910903559,-0.0171657895,-0.0961409243,-0.0695696047
2019-06-24,0.0078370413,0.0096135568,0.0019110899,1.2038907280,1.1858872668,1.2935577456,-0.0094632771,-0.0874516237,-0.0677914686
2019-06-25,-0.0189077656,-0.0164490962,-0.0104017817,1.1811278442,1.1663804930,1.2801024403,-0.0281921133,-0.1024622197,-0.0774880982
2019-06-26,-0.0026256461,0.0010852590,-0.0018356834,1.1780266205,1.1676463180,1.2777525774,-0.0307437369,-0.1014881588,-0.0791815381
2019-06-27,0.0190518292,0.0182398769,0.0106701287,1.2004701825,1.1889440431,1.2913863618,-0.0122776321,-0.0850994134,-0.0693562866
2019-06-28,-0.0002165675,0.0073480001,-0.0024068945,1.2002101996,1.1976804040,1.2882781311,-0.0124915407,-0.0783767238,-0.0715962478
2019-07-01,0.0102101776,0.0209404366,0.0288123104,1.2124645589,1.2227603545,1.3253964004,-0.0024089040,-0.0590775300,-0.0448467908
2019-07-02,-0.0020496210,0.0027597716,0.0003450369,1.2099794661,1.2261348938,1.3258537111,-0.0044535877,-0.0564807989,-0.0445172277
2019-07-03,-0.0086376112,-0.0108525654,-0.0110828364,1.1995281339,1.2128281847,1.3111594913,-0.0130527305,-0.0667204028,-0.0551066870
2019-07-04,-0.0085701853,-0.0063490269,-0.0052479316,1.1892479556,1.2051279059,1.3042786160,-0.0215110514,-0.0726458200,-0.0600654224
2019-07-05,0.0071865234,0.0076718708,0.0051898982,1.1977945138,1.2143734915,1.3110476893,-0.0144791177,-0.0655312786,-0.0551872576
2019-07-08,-0.0273815354,-0.0278904846,-0.0232233005,1.1649970610,1.1805040264,1.2806008348,-0.0414641926,-0.0915940640,-0.0771289278
2019-07-09,-0.0021199079,-0.0037789004,-0.0025402409,1.1625273745,1.1760430193,1.2773478002,-0.0434962002,-0.0950268396,-0.0794732427
2019-07-10,-0.0129770147,-0.0146473211,-0.0016846250,1.1474412397,1.1588171395,1.2751959482,-0.0559087641,-0.1082822721,-0.0810239851
2019-07-11,0.0042945377,-0.0009333977,-0.0004008726,1.1523689693,1.1577355022,1.2746847570,-0.0518543287,-0.1091145994,-0.0813923774
2019-07-12,0.0170882011,0.0159546877,0.0062109980,1.1720608820,1.1762068105,1.2826018215,-0.0356522248,-0.0949008011,-0.0756869073
2019-07-15,0.0081430483,-0.0036489071,0.0040580445,1.1816050304,1.1719149412,1.2878066768,-0.0277994943,-0.0982034240,-0.0719360036
2019-07-16,-0.0004556316,-0.0122165447,-0.0045350816,1.1810666538,1.1575981899,1.2819663685,-0.0282424595,-0.1092202622,-0.0761448495
2019-07-17,0.0020847214,0.0050991805,-0.0005794826,1.1835288487,1.1635009919,1.2812234912,-0.0262166158,-0.1046780156,-0.0766802076
2019-07-18,-0.0030250595,-0.0073288021,-0.0095244278,1.1799486036,1.1549739235,1.2690205706,-0.0291623685,-0.1112396532,-0.0854743003
2019-07-19,0.0193423312,0.0191261921,0.0104962290,1.2027715603,1.1770641766,1.2823405011,-0.0103841054,-0.0942410520,-0.0758752291
2019-07-22,-0.0010079841,0.0011134685,-0.0068992412,1.2015591857,1.1783748004,1.2734933247,-0.0113816225,-0.0932325180,-0.0822509887
2019-07-23,-0.0047093141,-0.0075796088,0.0021762797,1.1959006661,1.1694431805,1.2762648024,-0.0160373370,-0.1001054608,-0.0802537102
2019-07-24,0.0125172208,0.0094956968,0.0078943765,1.2108700188,1.1805478583,1.2863401172,-0.0037208591,-0.0915603351,-0.0729928867
2019-07-25,0.0093556265,0.0113821349,0.0081767994,1.2221984665,1.1939850134,1.2968582623,0.0000000000,-0.0812203522,-0.0654129355
2019-07-26,0.0087028945,0.0051629782,0.0019480321,1.2328351308,1.2001495320,1.2993845838,0.0000000000,-0.0764767129,-0.0635923300
2019-07-29,-0.0155448154,-0.0045850586,-0.0011138847,1.2136709362,1.1946467760,1.2979372191,-0.0155448154,-0.0807111213,-0.0646353802
2019-07-30,0.0007787414,-0.0003401204,0.0041634343,1.2146160721,1.1942404524,1.3033410955,-0.0147781794,-0.0810237902,-0.0607410510
2019-07-31,-0.0130889266,-0.0207044795,-0.0090325935,1.1987180515,1.1695143254,1.2915685452,-0.0276736755,-0.1000507143,-0.0692249952
2019-08-01,-0.0092029974,-0.0139243435,-0.0083144781,1.1876862524,1.1532296062,1.2808298269,-0.0366219921,-0.1125819173,-0.0769639036
2019-08-02,-0.0080073550,0.0013794338,-0.0147318146,1.1781760270,1.1548204101,1.2619608794,-0.0443361018,-0.1113577828,-0.0905619002
2019-08-05,-0.0280936331,-0.0292127900,-0.0191461524,1.1450767820,1.1210848839,1.2377991840,-0.0711841727,-0.1373175013,-0.1079741407
2019-08-06,-0.0029153775,-0.0046124650,-0.0107081994,1.1417384509,1.1159139191,1.2245445836,-0.0738920214,-0.1412965941,-0.1175261315
2019-08-07,0.0048553165,0.0033713821,-0.0040967151,1.1472819524,1.1196760913,1.2195279732,-0.0693954741,-0.1384015768,-0.1211413755
2019-08-08,0.0180840592,0.0099081142,0.0132163225,1.1680294672,1.1307699699,1.2356456482,-0.0525663667,-0.1298647612,-0.1095260965
